episode,reward,rolling_reward_50
1,-96.33777384908832,
2,-282.8990505225511,
3,-35.59911295513972,
4,-285.8676384404947,
5,-230.9383363995365,
6,-203.23560517023068,
7,-160.6688184341669,
8,-52.43924914939858,
9,-206.96559488615424,
10,-180.67695355480305,
11,-48.283953981923744,
12,-189.3343569837532,
13,-398.59357575719923,
14,-309.24296470300055,
15,-139.36779903840792,
16,-139.69674089742864,
17,-195.68660334415185,
18,-78.33192412581946,
19,-123.68340363021741,
20,-167.1899335010964,
21,-220.54694689805854,
22,-146.78117983737476,
23,-66.24064293247652,
24,-113.91383930673392,
25,-52.015931476110104,
26,-109.64284296584032,
27,-111.74144039717348,
28,-208.09722136981247,
29,-1.3801328191568558,
30,-163.50123676728253,
31,-149.74803121261655,
32,-330.2064397181749,
33,-290.7638969550103,
34,-26.830250274729664,
35,-723.9906928620788,
36,-73.25626285793592,
37,-204.09813116475027,
38,-62.0560402750114,
39,-300.18627140499086,
40,-315.9125487670731,
41,-256.4904080332899,
42,-334.25464648823635,
43,-141.4473034471827,
44,-327.45166175562053,
45,9.212467684682423,
46,-285.1840320192608,
47,-416.8783923689395,
48,-427.92776905409437,
49,-483.8428373519774,
50,-283.97847920418883,-202.8838486325012
51,-210.1932574762215,-205.16095830504386
52,-248.7020172797558,-204.47701764018797
53,-85.40522361947612,-205.47313985347472
54,-293.22139455337106,-205.62021497573224
55,-310.08664261671925,-207.20318110007588
56,-262.7560672380661,-208.39359034143263
57,-188.9475733789866,-208.95916544032903
58,-61.456906417137944,-209.1395185856838
59,-149.65109187835674,-207.99322852552785
60,-274.8580917101042,-209.87685128863387
61,-130.82621679593294,-211.52769654491402
62,-400.5328136323179,-215.75166567788534
63,-165.14982696485578,-211.0827907020385
64,-124.10299245523873,-207.37999125708325
65,-496.4786750873,-214.52220877806107
66,-113.86977537326558,-214.00566946757783
67,-173.42824390960533,-213.5605022788869
68,-192.10082029372455,-215.835880202245
69,-283.6640604212986,-219.03549333806663
70,-140.87029439934128,-218.50910055603154
71,-154.674441332982,-217.19165044473
72,-245.9487501414987,-219.17500185081244
73,-127.00147569147191,-220.39021850599235
74,-155.3209029986176,-221.21835977983005
75,-247.5449493942612,-225.12894013819306
76,-511.48114373748257,-233.1657061536259
77,-89.65498324962459,-232.72397701067493
78,-422.3026448023483,-237.0080854793257
79,-294.2510967606229,-242.86550475815497
80,-362.4384895615943,-246.8442498140412
81,-219.2096726923808,-248.2334826436365
82,-226.17748739463752,-246.15290359716573
83,-283.98655239007076,-246.01735670586697
84,-270.3772577115841,-250.88829685460408
85,-188.8297210289935,-240.18507741794232
86,-346.2388256879231,-245.64472867454208
87,-204.21826751189752,-245.647131401485
88,-261.7193489061096,-249.64039757410697
89,-406.71581155821025,-251.77098837717134
90,-269.9936146441106,-250.85260969471213
91,-275.616248831546,-251.23512651067722
92,-485.735482011293,-254.26474322113836
93,-526.9434446519772,-261.9746660452343
94,-206.65768730287886,-259.5587865561794
95,-259.0312254505244,-264.92366041888357
96,-220.9874209338368,-263.63972819717515
